ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 2	 nscount 0	 arcount 3 
ID 0	flag 0x0000	qdcount 24	ancount 0	 nscount 0	 arcount 1 
ID 0	flag 0x8400	qdcount 0	ancount 5	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 5	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 5	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 3	 nscount 0	 arcount 6 
ID 0	flag 0x8400	qdcount 0	ancount 3	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 5	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 2	 nscount 0	 arcount 3 
ID 0	flag 0x0000	qdcount 22	ancount 0	 nscount 0	 arcount 1 
ID 0	flag 0x8400	qdcount 0	ancount 3	 nscount 0	 arcount 6 
ID 0	flag 0x8400	qdcount 0	ancount 3	 nscount 0	 arcount 0 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 3	 nscount 0	 arcount 6 
ID 0	flag 0x8400	qdcount 0	ancount 5	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 3	 nscount 0	 arcount 6 
ID 0	flag 0x8400	qdcount 0	ancount 3	 nscount 0	 arcount 0 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x0000	qdcount 21	ancount 23	 nscount 0	 arcount 1 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 2	 nscount 0	 arcount 3 
ID 0	flag 0x0000	qdcount 3	ancount 0	 nscount 4	 arcount 1 
ID 0	flag 0x0000	qdcount 3	ancount 0	 nscount 4	 arcount 1 
ID 0	flag 0x8400	qdcount 0	ancount 3	 nscount 0	 arcount 6 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 10	 nscount 0	 arcount 4 
ID 0	flag 0x0000	qdcount 3	ancount 0	 nscount 4	 arcount 1 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 3	 nscount 0	 arcount 6 
ID 0	flag 0x8400	qdcount 0	ancount 3	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 3	 nscount 0	 arcount 6 
ID 0	flag 0x8400	qdcount 0	ancount 3	 nscount 0	 arcount 0 
ID 0	flag 0x0000	qdcount 10	ancount 0	 nscount 0	 arcount 1 
ID 0	flag 0x0000	qdcount 14	ancount 21	 nscount 0	 arcount 1 
ID 0	flag 0x8400	qdcount 0	ancount 10	 nscount 0	 arcount 4 
ID 0	flag 0x8400	qdcount 0	ancount 4	 nscount 0	 arcount 3 
ID 0	flag 0x8400	qdcount 0	ancount 4	 nscount 0	 arcount 3 
ID 0	flag 0x8400	qdcount 0	ancount 2	 nscount 0	 arcount 3 
ID 8	flag 0x0000	qdcount 3	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 10	 nscount 0	 arcount 4 
ID 0	flag 0x0000	qdcount 20	ancount 25	 nscount 0	 arcount 1 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 2	 nscount 0	 arcount 4 
ID 0	flag 0x0000	qdcount 1	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 2	 nscount 0	 arcount 3 
ID 0	flag 0x0000	qdcount 3	ancount 0	 nscount 0	 arcount 0 
ID 0	flag 0x8400	qdcount 0	ancount 2	 nscount 0	 arcount 4 
ID 0	flag 0x8400	qdcount 0	ancount 10	 nscount 0	 arcount 4 
ID 4	flag 0x0000	qdcount 3	ancount 0	 nscount 0	 arcount 0 
