IP 163.70.140.34 -> 10.206.4.212, Port 443 -> 40278, Protocol 6,Payload 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
IP 157.240.16.16 -> 10.206.3.155, Port 443 -> 38826, Protocol 6,Payload 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
IP 163.70.140.61 -> 10.206.4.212, Port 443 -> 48562, Protocol 6,Payload 0013e685fb94552e9531ee01eccbe2ef2f0b7900373658ff1cc2c6a6ebde4933fba7d7ccfa606148d01f4c96d0c4baa6284bcf5dee6997ab21abfb25019c9606406211291be4e0280e6def603d81dc3b701b77cb1771cbe05fa3505ba3bfaf442555219c0cddaa0ce7fcae1ad3563b57d348df73b80b6f6a49e52c0f3ae33a18a26c935ea2e0aee60abdba957832fdf2f87cc8c12d58b61d6a521b9de38beeff8cd7d6378c535d0e87c235c01f8e233911f8a7f9a84dd5bbeb0e2799027edc41114a8a119b4c3a81205cfd28dd0738ab99dc340a8eb30c0ec7ab1ae15177fe534cc97c640f77359c0efa1aa95400f338862cf5f6deed9fa9ab6d9f08c69b1057 
IP 157.240.16.16 -> 10.206.3.155, Port 443 -> 38822, Protocol 6,Payload 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
IP 163.70.143.34 -> 10.206.5.49, Port 443 -> 49314, Protocol 6,Payload 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
IP 10.203.5.230 -> 10.206.4.237, Port 63244 -> 7680, Protocol 6,Payload 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
IP 10.203.5.230 -> 10.206.4.237, Port 63244 -> 7680, Protocol 6,Payload 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
IP 34.49.230.111 -> 10.206.4.97, Port 443 -> 52264, Protocol 6,Payload 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
IP 10.205.5.233 -> 10.206.3.61, Port 58880 -> 7680, Protocol 6,Payload 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
IP 10.203.5.230 -> 10.206.4.237, Port 63244 -> 7680, Protocol 6,Payload 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
IP 163.70.140.61 -> 10.206.4.59, Port 443 -> 46100, Protocol 6,Payload 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
IP 10.203.5.230 -> 10.206.4.237, Port 63244 -> 7680, Protocol 6,Payload 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
